V1, V2, d, m,delta
B,M,63,y,45
B,N,55,y,45
B,U,61,y,39
C,J,83,y,35
D,K,38,y,32
D,L,31,y,29
D,S,35,y,25
B,O,96,y,24
D,I,86,y,24
C,F,77,y,23
C,K,49,y,21
C,I,90,y,20
D,R,40,y,20
D,J,78,y,19
C,L,43,y,17
B,T,100,y,15
D,G,65,y,15
B,P,101,y,14
C,S,48,y,12
C,N,50,y,10
B,E,21,y,9
B,L,77,y,9
B,K,67,y,8
C,O,72,y,8
D,O,73,y,7
C,R,44,y,6
D,Q,54,y,6
B,R,65,y,5
C,G,55,y,5
B,I,88,y,4
C,U,51,y,4
D,N,66,y,4
B,F,54,y,3
B,S,80,y,3
D,U,67,y,3
D,T,60,y,0
B,J,91,y,-3
C,T,62,y,-4
C,E,55,y,-5
B,D,66,y,-6
C,P,62,y,-7
A,B,23,y,
A,C,75,y,
A,D,86,y,
A,E,29,y,
A,F,57,y,
A,G,46,y,
A,H,103,y,
A,I,88,y,
A,J,95,y,
A,K,76,y,
A,L,90,y,
A,M,80,y,
A,N,75,y,
A,O,110,y,
A,P,119,y,
A,Q,100,y,
A,R,78,y,
A,S,93,y,
A,T,117,y,
A,U,80,y,
B,C,54,y,
B,G,34,y,
B,H,96,y,
B,Q,80,y,
C,D,20,y,
C,M,63,y,
C,Q,48,y,
D,E,63,y,
D,H,96,y,
D,M,79,y,
D,P,60,y,
E,H,88,y,
F,D,85,y,
F,G,24,y,
F,M,52,y,
G,H,96,y,
G,J,63,y,
G,N,39,y,
H,C,97,y,
H,F,61,y,
H,I,16,y,
H,J,18,y,
H,K,70,y,
H,L,71,y,
H,M,92,y,
H,N,97,y,
H,O,99,y,
H,P,78,y,
H,Q,82,y,
H,R,57,y,
H,S,68,y,
H,T,73,y,
H,U,100,y,
I,K,57,y,
J,S,50,y,
K,L,22,y,
K,R,22,y,
K,S,20,y,
L,T,49,y,
M,N,18,y,
M,U,18,y,
N,U,6,y,
O,M,56,y,
O,P,25,y,
O,R,54,y,
O,T,25,y,
P,Q,26,y,
P,T,6,y,
S,L,5,y,
U,Q,38,y,
I,J,16,n,
I,L,65,n,
I,M,110,n,
I,N,100,n,
I,O,105,n,
I,P,100,n,
I,Q,100,n,
I,R,65,n,
I,S,65,n,
I,T,90,n,
I,U,100,n,
J,K,55,n,
J,L,55,n,
J,M,105,n,
J,N,100,n,
J,O,120,n,
J,P,120,n,
J,Q,110,n,
J,R,55,n,
J,T,120,n,
J,U,100,n,
K,M,90,n,
K,N,80,n,
K,O,60,n,
K,P,65,n,
K,Q,60,n,
K,T,65,n,
K,U,90,n,
L,M,90,n,
L,N,85,n,
L,O,60,n,
L,P,54,n,
L,Q,60,n,
L,R,12,n,
L,U,85,n,
M,P,60,n,
M,Q,45,n,
M,R,80,n,
M,S,90,n,
M,T,60,n,
N,O,60,n,
N,P,60,n,
N,Q,44,n,
N,R,75,n,
N,S,85,n,
N,T,60,n,
O,Q,15,n,
O,S,60,n,
O,U,60,n,
P,R,60,n,
P,S,54,n,
P,U,55,n,
Q,R,45,n,
Q,S,54,n,
Q,T,15,n,
R,S,15,n,
R,T,60,n,
R,U,80,n,
S,T,53,n,
S,U,85,n,
T,U,55,n,
E,P,101,y,13
E,T,98,y,16
E,O,97,y,17
E,Q,85,y,27
F,P,85,y,25
F,T,82,y,28
E,I,81,y,-8
F,L,80,y,-15
F,S,79,y,-19
E,J,77,y,-14
E,M,76,y,42
G,P,76,y,29
E,N,75,y,38
E,U,75,y,38
G,T,75,y,30
F,K,74,y,-9
F,Q,70,y,30
F,O,68,y,32
E,S,68,y,-30
E,L,68,y,-36
G,S,67,y,-7
G,L,66,y,-1
G,O,64,y,36
G,I,64,y,21
F,U,63,y,-8
G,K,61,y,4
E,G,61,y,-3
F,I,60,y,3
G,Q,58,y,32
F,R,58,y,-8
F,N,57,y,-2
E,F,56,y,4
F,J,56,y,4
E,R,56,y,-18
E,K,53,y,-23
G,R,48,y,-3
G,U,46,y,-3
G,M,42,y,3
